rank,word,score,non_overlapping_word,non_overlapping_score
9926,biffo,38.255990871053626,sared,88.85393685812096
9927,visit,38.217953594522626,porae,88.55534423735261
9928,jumby,38.21453023963484,soare,90.64511220996577
9929,whisk,38.214149866869526,porae,88.55534423735261
9930,howso,38.21110688474705,raile,87.0532521871434
9931,krunk,38.21072651198174,salet,86.30353746671739
9932,inbox,38.210346139216426,sared,88.85393685812096
9933,geese,38.189045264359066,roany,77.0228223659186
9934,embed,38.166222898440466,sorta,77.91441612780525
9935,zuppa,38.16546215290985,sored,83.68276911373147
9936,appay,38.16432103461392,sored,83.68276911373147
9937,guppy,38.14872575123621,soare,90.64511220996577
9938,uprun,38.13959680486877,salet,86.30353746671739
9939,chaff,38.13275009509319,sored,83.68276911373147
9940,tehee,38.10422213769493,soral,77.79954355268163
9941,twill,38.10346139216432,soare,90.64511220996577
9942,twilt,38.10346139216432,soare,90.64511220996577
9943,nyaff,38.074172689235446,sored,83.68276911373147
9944,igloo,38.06542411563332,sared,88.85393685812096
9945,livid,38.05895777862305,soare,90.64511220996577
9946,groof,38.05439330543933,saine,87.3351084062381
9947,ninny,38.030810193990106,soare,90.64511220996577
9948,reeve,38.02130087485736,salty,74.36059338151388
9949,zamak,38.01065043742868,sored,83.68276911373147
9950,gamma,38.00722708254089,sored,83.68276911373147
9951,xysti,38.00532521871433,porae,88.55534423735261
9952,evoke,37.998098136173454,sarin,77.06466337010269
9953,abash,37.97147204260175,porey,83.44960060859643
9954,puuko,37.96804868771396,sared,88.85393685812096
9955,huzza,37.93837961201978,sored,83.68276911373147
9956,mamak,37.92620768352986,sored,83.68276911373147
9957,wexed,37.92544693799924,sorta,77.91441612780525
9958,freer,37.91707873716241,salty,74.36059338151388
9959,frere,37.91707873716241,salty,74.36059338151388
9960,bball,37.91555724610118,sored,83.68276911373147
9961,anata,37.906808672499054,sored,83.68276911373147
9962,blook,37.88817040699886,sared,88.85393685812096
9963,shyly,37.87029288702929,porae,88.55534423735261
9964,jheel,37.85165462152909,sorta,77.91441612780525
9965,gloom,37.84442753898821,sared,88.85393685812096
9966,chowk,37.83567896538607,sared,88.85393685812096
9967,legge,37.82655001901864,sorta,77.91441612780525
9968,kwaai,37.81057436287561,sored,83.68276911373147
9969,illth,37.80829212628375,soare,90.64511220996577
9970,jewed,37.79764168885508,sorta,77.91441612780525
9971,zygon,37.78280715100799,sared,88.85393685812096
